osm_id,name,city,state,lat,lon
24261962,,,,-1.0501448,-46.760852
30420455,Skatepark do Aterro do Flamengo,,,-22.9247319,-43.1705521
49826065,Skate Rink,,,-22.8131514,-43.2076239
51943883,,,,-20.2996869,-40.2918211
59147230,,,,-13.0026969,-38.4512095
71371495,,,,-25.0717376,-50.1194163
95469304,,,,-29.5982489,-51.1596547
96063988,,,,-15.8023331,-47.9419681
110352022,Skatepark Naviraí,NAVIRAI,,-23.0577864,-54.1922321
119368632,,,,-22.6281461,-46.0175435
122291352,,,,-21.6955218,-47.4752338
129483214,Skate Park,,,-21.7866093,-46.5865731
132766692,Pista de Skate,,,-10.9771976,-37.0395032
147684302,,,,-23.4970485,-46.4792368
154337591,Half/Street,,,-22.4392106,-46.9630473
159585062,,,,-29.7176657,-52.4334754
163518969,,,,-20.451548,-54.5725568
165642090,Criciúma Skatepark,,,-28.6916771,-49.3839359
168082938,Pista de Skate,,,-21.8673794,-51.8497057
168651029,,,,-29.7593059,-57.0791052
169514347,Pista de Skate,,,-30.051838,-51.2312314
170106043,Praça Franklin Frota,,,-29.1898107,-54.870235
173207862,,,,-22.7269431,-47.6667478
174573787,,,,-20.7225294,-47.8811001
182880792,,,,-22.8128491,-43.0415713
183580754,,,,-22.1291407,-51.3997069
185984985,,,,-22.2254362,-51.3067075
198814484,Pista de Skate,,,-21.7560329,-52.1167557
201945250,,,,-22.7531127,-50.5730206
203375557,,,,-20.4988811,-54.6675871
204618491,,,,-22.8242715,-42.9984257
205537960,Pista de Skate,,,-24.7142088,-53.7164225
208644922,,,,-20.4707041,-54.6213608
211061200,Pista de Patinação,,,-30.0510641,-51.2303543
216852384,,,,-30.0518114,-51.2304394
218339105,,,,-30.1757702,-51.1733654
225182905,Skate,,,-15.8285696,-47.9732569
230883859,Pista de skate,,,-29.5054398,-51.967657
231743321,,,,-29.4665519,-51.9691889
233744575,,,,-9.661386,-35.7005324
233769778,,,,-9.6665536,-35.7116302
235377945,Pista de skate,,,-29.4814969,-51.8173703
242158532,Bowl do Rio Sul,,,-22.9555093,-43.1777439
243800344,,,,-30.017456,-51.2138316
244050616,,,,-29.9862528,-51.1290446
244050624,,,,-30.0215838,-51.1553095
244050670,,,,-30.0292024,-51.1338264
244250893,,,,-30.0042444,-51.1232208
244335140,,,,-30.1560817,-51.2258735
244335145,,,,-30.1539822,-51.2250726
248656838,,,,-3.8788936,-38.6053525
253534467,,,,-23.6968911,-46.5497292
255628166,,,,-26.3360171,-48.8465611
256085144,,,,-19.8606399,-44.6131964
256214187,,,,-23.1746002,-45.8442959
256214188,,,,-23.1745924,-45.8439731
